"cc_lv","cc_av","pav_lv","pav_av","av_lv","av_av","nc","nv","g","p","phi","l","k"
1500,1500,3079.85000000002,2978.64999999997,5966,6068,24,1500,2,0.5,0,1,8
1500,1500,3125.00000000005,2962.49999999997,6000,6000,24,1500,2,0.5,0,1,8
1500,756,3090.20000000002,2054.70000000001,6012,6048,24,1500,2,0.5,0,1,8
1500,1500,3077.15000000002,2984.34999999997,5954,6092,24,1500,2,0.5,0,1,8
1500,751,2963.44999999997,2041.11071428572,6004,6008,24,1500,2,0.5,0,1,8
1500,771,2982.44999999997,2095.46785714287,6084,6168,24,1500,2,0.5,0,1,8
1500,1500,2672.34285714287,3125.00000000005,5916,6000,24,1500,2,0.5,0,1,8
1500,772,2729.68571428572,2098.18571428572,6132,6176,24,1500,2,0.5,0,1,8
1500,756,2968.19999999997,2054.70000000001,6024,6048,24,1500,2,0.5,0,1,8
1500,768,2979.59999999997,2087.31428571429,6072,6144,24,1500,2,0.5,0,1,8
1500,1500,2691.45714285715,3086.60000000002,5988,5996,24,1500,2,0.5,0,1,8
1500,1500,2946.34999999997,3095.15000000002,5932,6034,24,1500,2,0.5,0,1,8
1500,766,2720.12857142858,2081.87857142858,6096,6128,24,1500,2,0.5,0,1,8
1500,1500,2672.34285714287,2949.19999999998,5916,5944,24,1500,2,0.5,0,1,8
1500,763,3093.35000000001,2073.72500000001,6026,6104,24,1500,2,0.5,0,1,8
1500,790,3000.49999999997,2147.10714285715,6160,6320,24,1500,2,0.5,0,1,8
1500,757,2969.14999999998,2057.41785714287,6028,6056,24,1500,2,0.5,0,1,8
1500,1500,2961.54999999998,3087.95000000001,5996,6002,24,1500,2,0.5,0,1,8
1500,752,3088.40000000001,2043.82857142858,6004,6016,24,1500,2,0.5,0,1,8
1500,772,3097.40000000002,2098.18571428572,6044,6176,24,1500,2,0.5,0,1,8
1500,783,3072.65000000002,2128.08214285715,5934,6264,24,1500,2,0.5,0,1,8
1500,755,2702.60714285715,2051.98214285715,6030,6040,24,1500,2,0.5,0,1,8
1500,1500,3084.80000000002,3090.20000000001,5988,6012,24,1500,2,0.5,0,1,8
1500,768,2979.59999999997,2087.31428571429,6072,6144,24,1500,2,0.5,0,1,8
1500,765,2948.24999999998,2079.16071428572,5940,6120,24,1500,2,0.5,0,1,8
1500,811,3125.00000000005,2204.18214285715,6000,6488,24,1500,2,0.5,0,1,8
1500,1500,2960.59999999997,3088.40000000002,5992,6004,24,1500,2,0.5,0,1,8
1500,1500,2940.64999999998,3125.00000000005,5908,6000,24,1500,2,0.5,0,1,8
1500,773,2940.64999999997,2100.90357142858,5908,6184,24,1500,2,0.5,0,1,8
1500,1500,2936.84999999998,3099.65000000001,5892,6054,24,1500,2,0.5,0,1,8
1500,751,2961.54999999997,2041.11071428572,5996,6008,24,1500,2,0.5,0,1,8
